song URL,chords
copyrighted content — ask author for info.,"['G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G', 'G', 'A-', 'C', 'G']"
copyrighted content — ask author for info.,"['Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'F/G', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'F', 'G', 'A-', 'F', 'G', 'A-', 'F', 'G', 'C5', 'CMM7', 'C5', 'D7sus', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'Am/G', 'C', 'G4', 'D7sus', 'F', 'G', 'A-', 'F', 'G', 'A-', 'F', 'G', 'C5', 'CMM7', 'C5', 'D7sus', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G', 'F/G', 'Am/G', 'C', 'Am/G']"
copyrighted content — ask author for info.,"['A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G']"
copyrighted content — ask author for info.,"['F', 'Dm', 'G', 'A-', 'Am/B', 'A-', 'Am/D', 'A-', 'F', 'Dm', 'G', 'A-', 'G', 'A-', 'E-', 'A-', 'E-', 'A-', 'E-', 'Dm', 'G', 'A-', 'E-', 'A-', 'E-', 'A-', 'E-', 'Dm', 'G', 'G', 'F', 'Dm', 'G', 'A-', 'Am/B', 'A-', 'Am/D', 'A-', 'F', 'Dm', 'G', 'A-', 'G', 'A-', 'E-', 'A-', 'E-', 'A-', 'E-', 'Dm', 'G', 'A-', 'E-', 'A-', 'E-', 'A-', 'E-', 'Dm', 'G', 'G', 'F', 'Dm', 'G', 'A-', 'Am/B', 'A-', 'Am/D', 'A-', 'F', 'Dm', 'G', 'A-', 'G', 'A-', 'G', 'F', 'G', 'C', 'Dm', 'C', 'Dm', 'A-', 'E-', 'A-', 'E-', 'A-', 'E-', 'Dm', 'G', 'G', 'F', 'Dm', 'G', 'A-', 'Am/B', 'A-', 'Am/D', 'A-', 'F', 'Dm', 'G', 'A-', 'Am/B', 'A-', 'Am/D', 'A-', 'F', 'Dm', 'G', 'A-', 'Am/B', 'A-', 'Am/D', 'A-', 'F', 'Dm', 'G', 'A-', 'G', 'A-']"
copyrighted content — ask author for info.,"['C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C']"
copyrighted content — ask author for info.,"['C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'A-', 'F', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'A-', 'F', 'G', 'Dm', 'G', 'Dm', 'F', 'A-', 'Dm', 'C', 'G', 'G/F', 'C', 'G', 'C', 'G', 'A-', 'F', 'G', 'Dm', 'G', 'Dm', 'F', 'A-', 'Dm', 'C', 'G', 'G/F', 'C', 'G', 'C', 'G', 'A-', 'F', 'A-', 'F']"
copyrighted content — ask author for info.,"['C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'A-', 'G', 'F', 'C', 'A-', 'G', 'F', 'C', 'A-', 'C', 'A-', 'C', 'A-', 'G', 'C', 'C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'A-', 'G', 'F', 'C', 'A-', 'G', 'F', 'C', 'A-', 'C', 'A-', 'C', 'A-', 'G', 'C', 'C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'A-', 'G', 'F', 'C', 'A-', 'G', 'F', 'C', 'A-', 'C', 'A-', 'C', 'A-', 'G', 'C', 'C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'A-', 'C', 'A-', 'C', 'A-', 'G', 'C', 'C', 'C', 'F/G', 'G', 'C', 'C', 'F/G', 'G', 'C']"
copyrighted content — ask author for info.,"['C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'C', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'C', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'C', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'C', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'C', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C', 'A-', 'F', 'G', 'C']"
copyrighted content — ask author for info.,"['F', 'Dm', 'C', 'F', 'Dm', 'C', 'Dm', 'G', 'C', 'Dm', 'G', 'C', 'F', 'Dm', 'C', 'F', 'Dm', 'C', 'F', 'Dm', 'C', 'Dm', 'G', 'C', 'Dm', 'G', 'C', 'F', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'E-', 'F', 'C', 'E-', 'F', 'Dm', 'E-', 'F', 'C', 'E-', 'F', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'F', 'Dm', 'C', 'F', 'Dm', 'C', 'Dm', 'G', 'C', 'Dm', 'G', 'C']"
copyrighted content — ask author for info.,"['F', 'G', 'F', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'Dm', 'C', 'Dm', 'C', 'Dm', 'C', 'F', 'G', 'C', 'Dm', 'F', 'G', 'C', 'Dm', 'G', 'C', 'Dm', 'F', 'E-', 'Dm', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'Dm', 'C', 'Dm', 'C', 'Dm', 'C', 'F', 'G', 'C', 'Dm', 'F', 'G', 'C', 'Dm', 'G', 'C', 'Dm', 'F', 'E-', 'Dm', 'A-', 'G', 'A-', 'G', 'A-', 'G', 'G', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'F', 'G', 'F', 'Dm', 'C', 'Dm', 'C', 'Dm', 'C', 'F', 'G', 'C', 'Dm', 'F', 'G', 'C', 'Dm', 'G', 'C', 'Dm', 'F', 'E-', 'Dm', 'A-', 'G', 'A-', 'G', 'A-', 'G', 'G', 'C', 'Dm', 'F', 'G', 'C', 'Dm', 'G', 'C', 'Dm', 'F', 'E-', 'Dm']"
copyrighted content — ask author for info.,"['A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G']"
copyrighted content — ask author for info.,"['C', 'E-', 'F', 'F', 'C', 'E-', 'E-', 'F', 'F', 'A-', 'G', 'E-', 'G', 'C', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'G', 'F', 'C', 'E-', 'F', 'F', 'A-', 'G', 'E-', 'G', 'C', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'G', 'F', 'A-', 'G', 'F', 'A-', 'C', 'G', 'A-', 'G', 'E-', 'G', 'C', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'G', 'F', 'A-', 'G', 'A-']"
copyrighted content — ask author for info.,"['C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'A-', 'F', 'A-', 'F', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'A-', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C']"
copyrighted content — ask author for info.,"['C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'G', 'F', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C']"
copyrighted content — ask author for info.,"['C', 'G', 'F', 'C', 'G', 'Dm/C', 'C', 'G', 'F', 'C', 'G', 'Dm/C', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'Dm/C', 'C', 'G', 'F', 'C', 'G', 'Dm/C', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F']"
copyrighted content — ask author for info.,"['C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'F', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'F', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'F', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm']"
copyrighted content — ask author for info.,"['C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'F', 'C', 'F', 'A-', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'F', 'C', 'F', 'A-', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'F', 'C', 'F', 'A-', 'C', 'G', 'F', 'C', 'G', 'C', 'F', 'C', 'F', 'A-', 'C', 'G', 'F', 'C', 'G', 'F', 'C']"
