Csus2sus4,"0, 2, 4, 5"
F5add6,"0, 2, 5"
Cadd2,"0, 2, 5, 7"
C2,"0, 2, 7"
Csus2,"0, 2, 7"
C5sus2sus4,"0, 2, 7, 5"
D5/C,"0, 2, 9"
Cdim,"0, 3, 6"
Co,"0, 3, 6"
Cdim7,"0, 3, 6, 9"
B#m,"0, 3, 7"
C-,"0, 3, 7"
Cm(maj7),"0, 3, 7, 11"
Cm,"0, 3, 7"
Cm/Eb,"0, 3, 7"
Cm/G,"0, 3, 7"
Cm7,"0, 3, 7, 10"
Cm6,"0, 3, 7, 9"
Cmadd6,"0, 3, 7, 9"
Cadd11,"0, 4, 5"
Cadd#11,"0, 4, 6"
C,"0, 4, 7"
C/E,"0, 4, 7"
C/G,"0, 4, 7"
CM,"0, 4, 7"
Cmaj,"0, 4, 7"
C7(b9),"0, 4, 7, 1"
C/Bb,"0, 4, 7, 10"
C/A#,"0, 4, 7, 10"
C7,"0, 4, 7, 10"
C7/Bb,"0, 4, 7, 10"
C7/E,"0, 4, 7, 10"
C7/G,"0, 4, 7, 10"
CM7,"0, 4, 7, 10"
CMaj7,"0, 4, 7, 10"
Cmaj7,"0, 4, 7, 10"
Cmaj7/Bb,"0, 4, 7, 10"
Cmaj7/E,"0, 4, 7, 10"
Cmaj7/G,"0, 4, 7, 10"
C7-9,"0, 4, 7, 10, 1"
C/B,"0, 4, 7, 11"
Cmaj7/B,"0, 4, 7, 11"
C7b9,"0, 4, 7, 11, 1"
C(add9),"0, 4, 7, 2"
C/D,"0, 4, 7, 2"
C9,"0, 4, 7, 2"
Cadd9,"0, 4, 7, 2"
Cmaj9,"0, 4, 7, 2"
Cmaj9/D,"0, 4, 7, 2"
Cmaj9/G,"0, 4, 7, 2"
C/D#,"0, 4, 7, 3"
C/F,"0, 4, 7, 5"
C/A,"0, 4, 7, 9"
C6,"0, 4, 7, 9"
C6/G,"0, 4, 7, 9"
C6/9,"0, 4, 7, 9, 2"
C6add9,"0, 4, 7, 9, 2"
Cadd2add9,"0, 4, 7, 9, 2"
Caug/E,"0, 4, 8"
Caug,"0, 4, 8"
C+,"0, 4, 8"
C4,"0, 5, 7"
Cadd4,"0, 5, 7"
Csus,"0, 5, 7"
Csus4,"0, 5, 7"
Csus4/F,"0, 5, 7"
C7sus4,"0, 5, 7, 10"
C5,"0, 7"
C#sus2,"1, 3, 8"
