Index,Artist,title,year,data,Absolute Chords,section,formtype,looptype,MBID,source
314,Katy Perry,Hot 'n' cold,2008,|6- . .4 ||1 . . 5||,|Em . . CM||GM . . DM||,$bridge ,,Axis-A,3ab64b07-4760-3b29-83e1-9f63cd39963f," Park: MusicID Top 200 (2000-2020), Richards"
263,Katy Perry,E.T.,2010,|4 |5 | 6- | 1|,DbM-EbM-|Fm-AbM,"$Ch, $PostCh",,Plateau: ascending passing loop,48b78802-5dce-4b68-a6db-51c04d2d8a8e, Park: MusicID Top 200 (2000-2020)
263,Katy Perry,E.T.,2010,|2- |4 |6-| 5|,Bbm6|Dbm|Fm|EbM..Fm|Bbm6|Dbm|Fm|EbM|‚Ä¶CM|,$bridge,,Get Lucky-d,48b78802-5dce-4b68-a6db-51c04d2d8a8e, Park: MusicID Top 200 (2000-2020)
160,Daft Punk,Get Lucky,2013,|2- |4 |6-| 5|,|Bm |DM |F#m|EM|,"$In, $Vr, $PCh, $Ch, $PostCh",,Get Lucky-d,b11bf816-1844-47e5-9075-9239b7609c6a,"Peres, Spicer, Jinny Park: daft punk corpus"
49,Ed Sheeran,Perfect,2017,|6- |4| 1| 5|,Fm--DbM--|AbM--EbM--|,$Ch,,Axis-A,f673b3e1-f46d-44e7-9767-43d7a88aa886, Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|1 |6- |4 |5|,AbM Fm|DbM EbM|,"$In, $Vr1, $instr",,Doo-wop,f673b3e1-f46d-44e7-9767-43d7a88aa886, Park: MusicID Top 200 (2000-2020)
49,Ed Sheeran,Perfect,2017,|4||5||,DbM||EbM||,$PostCh,,Plateau Shuttle,f673b3e1-f46d-44e7-9767-43d7a88aa886, Park: MusicID Top 200 (2000-2020)
78,Nicky Jam and Enrique Iglesias ,El perdón (Forgiveness),2015,|6- 4 |1 5|,|Fm DbM |AbM EbM|,"$In, $Vr, $PCh, $Ch, $bridge, $outro",,Axis-A,40f920e3-b596-48f9-a092-4e5b74ef6a6a,Richards
167,Demi Lovato ,Heart Attack ,2013,|4|. 1 . . |5|. 6- . .|,DbM|. AbM . .|EbM|. Fm . .|,"$Vr, $PCh, $Ch_a",,Axis-F,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato ,Heart Attack ,2013,|6- | .  4 . . | 1 | . 5 . . |,|Fm|. DbM . . |AbM| . EbM . . |,$DCh_a,,Axis-A,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato ,Heart Attack ,2013,|6- | .  4 . . | 1 | 5 |,|Fm| . DbM . . | AbM | EbM|,$DCh_b,,Axis-A,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato ,Heart Attack ,2013,|6- || 4 || 1 || 5 ||,|Fm||DbM||AbM||EbM||Fm||DbM||AbM||CM|||,$bridge_a,,Axis-A,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
167,Demi Lovato ,Heart Attack ,2013,|4|. 1 . .|5||,DbM|. AbM . .|EbM||,$Ch_b,,Closed Double Plagal,a770a566-ad20-492b-b6e7-2444c3cdd563,Richards
150,Ellie Goulding,Burn,2013,|6-|4|1|5|,,$Vr- $PCh- $Ch- $bridge,,Axis-A,f55bc729-1cf1-45dc-a7e5-e3a8d69e5092,"Peres, Richards"
50,The Weeknd,Secrets,2017,|4 ||5||,|FM||GM||,$In $Vr $PCh $Ch,,Plateau Shuttle,bd28d3a9-b287-4b9c-9d08-118da13376f3,Duinker
538,Selena Gomez,Same Old Love,2015,|6- . . 4 |2- . . 5 |,|Cm . . AbM|Fm . . BbM|,$Ch_a,,Aeolian-Dorian Four Chords,e179bced-e75d-44f0-8438-899469e0ebe2,Peres
538,Selena Gomez,Same Old Love,2015,|6- 4 |2- 5 |,|Cm AbM|Fm BbM|,$Ch_b,,Aeolian-Dorian Four Chords,e179bced-e75d-44f0-8438-899469e0ebe2,Peres
328,Miley Cyrus,See You Again,2008,|2-|6-|,|Dm|Am|,$c,,Dorian-Aeolian shuffle,0b538415-f589-320e-8387-932f0dd7999f,Peres
328,Miley Cyrus,See You Again,2008,|4 1 | 5|,|FM CM | GM|,$d,,Closed Double Plagal,0b538415-f589-320e-8387-932f0dd7999f,Peres
509,The Offspring,Self Esteem,1994,|6- . . 4 |1 . . 5 |,|Am . . FM |CM . . GM |,$a,,Axis-A,01c17bf0-56ba-30bd-acdf-2eba966927e2,Richards
509,The Offspring,Self Esteem,1994,|4| . . 1 5 |,|FM| . . CM GM |,$turn,,Closed Double Plagal,01c17bf0-56ba-30bd-acdf-2eba966927e2,Richards
281,Britney Spears,3,2009,|4 |5 6- . .|,|DbM |EbM Fm . .|,$PCh $bridge,,Plateau: open passing loop,5444e95d-8c45-4325-90a4-c088f03782b6,Peres
130,David Guetta featuring Nicki Minaj,Hey Mama,2014,|6- 4| 2- 5|,|Em CM|Am DM|,"$Ch, $PCh",,Aeolian-Dorian Four Chords,5b82e36f-7a1c-48bd-b620-795d0cffd7bb,Peres
385,Ciara & Missy 'Misdemeanor' Elliot,1-2 Step,2004,|6-||2-||,Gm||Cm||,$a,,Aeolian-Dorian shuffle,77bdae1d-1d93-31e6-8f24-0d57d827a52d, Park: MusicID Top 200 (2000-2020)
282,Green Day ,21 Guns ,2009,|6- 4|1 5|,|Dm BbM | FM CM|,$a,,Axis-A,1b4a5af4-cae4-3ef0-ad75-2d477312648a,Richards
282,Green Day ,21 Guns ,2009,|4|5|,|BbM|CM|,$b,,Plateau Shuttle,1b4a5af4-cae4-3ef0-ad75-2d477312648a,Richards
282,Green Day ,21 Guns ,2009,|4| . . . 5|,|BbM| . . . CM|,$c,,Plateau Shuttle,1b4a5af4-cae4-3ef0-ad75-2d477312648a,Richards
282,Green Day ,21 Guns ,2009,|4 1 |5|,|BbM FM| CM | ,"$e, $PostCh",,Closed Double Plagal,1b4a5af4-cae4-3ef0-ad75-2d477312648a,Richards
54,Bon Iver,"33 ""GOD""",2016,|4||||6-||||,|AM||||C#m||||,"$a, $interlude",,Major-minor Plateau,08e1dc44-da43-487f-8f84-3d5d8b7fee41,Duinker
190,Train ,50 Ways to Say Goodbye,2012,|4 1 5||,|CM GM DM||,$ending_cadence,,Closed Double Plagal,f29ab7ab-9d2f-4b4f-ab96-c05e959e6701,Richards
416,Celine Dion ,A New Day Has Come ,2002,|4| 1| 5| 6-|,|CM|GM|DM|Em|,$g,,Axis-F,ddb504fd-fa94-45d7-813a-674c6399bc66,Richards
416,Celine Dion ,A New Day Has Come ,2002,|4| 1| 5||,|CM|GM|DM||,$a,,Closed Double Plagal,ddb504fd-fa94-45d7-813a-674c6399bc66,Richards
416,Celine Dion ,A New Day Has Come ,2002,| 6- | 4 | 1 | 5 |,|Em|CM|GM|DM|,$b,,Axis-A,ddb504fd-fa94-45d7-813a-674c6399bc66,Richards
