chords,count
G,4435
C,3427
D,2732
Em,2072
Am,1862
F,1737
A,1322
E,667
Bm,557
Dm,551
Cadd9,516
Em7,351
B,289
F#m,251
D/F#,248
Bb,228
Dsus4,161
A7,141
C#m,141
F#,140
B7,136
E7,133
G/B,110
G#m,107
Am7,106
Fm,78
Ab,73
Gm,68
Fmaj7,68
Cm,65
G7,61
D7,56
Cmaj7,49
Dbsus2,44
Bm7,43
Ebsus2,42
Csus2,42
Gb,39
Bbm,36
Dm/C,33
C/G,31
C#,31
Amaj7,28
Asus4,28
Db,27
Cm7,24
Gmaj7,23
Fadd9,23
Asus2,23
C7,22
G#,21
C/B,21
Gm7,20
Bbm7,20
Esus4,18
Dsus2,18
Bbm7/Eb,18
Gmaj,18
Dmaj7,17
Gsus4,17
F#m7,16
G/C,15
Bsus2,15
C/E,15
Bbmaj7,15
Gm6,14
D#,14
Fm7,13
Bm/F#,13
Am/G,13
F/C,13
Am/E,13
Dsus,12
Dm7,12
F/G,12
DmM7,12
Dsus4/F#,11
D7sus4,11
Bm7-5,10
C#7,10
G/D,10
Eb,10
Fsus2,10
Bb7,10
D/A,9
Emadd9,9
A5,9
Bbdim,9
Ebmaj7,9
G#/C,9
D#m,8
Am/B,8
E5,8
Ebm,7
Am/C,7
D/C#,7
B7+5,7
A#m,7
G/A,6
D6,6
G4,6
C/A,6
F#7,5
Am6,5
D9,5
Gbmaj7,5
D5,5
C9,4
Bbdim7,4
Abm7b5,4
Bsus4,4
D#7,4
C#9/F,4
F#7/C#,4
D7/A,4
G/F#,4
Csus4,4
Em/A,4
E6,4
Ddim,4
G6,3
Dm9,3
Db/Eb,3
Ebm7,3
Ebm7/Ab,3
Am7b5,3
Am7/G,3
Em7/D,3
Em7/C#,3
Em/B,3
G#madd6,3
F#madd6,3
B#m,3
C7(b9),3
Abm7,3
Db7,3
Em9,2
A/E,2
Dm6,2
Ebdim,2
C#m7b5,2
F7,2
A#7,2
A/C#,2
Db/F,2
Gm/F,2
Gm/C,2
F6,2
D5/C,2
A#/D,2
D#/G,2
chords,1
Abmaj7,1
E7/B,1
Eb6,1
C/D,1
Db13,1
D/C,1
Gsus2/B,1
Fmaj9,1
G#dim7,1
A7/G,1
Bb/F,1
D#dim,1
Cb/Gb,1
Gb/Db,1
D#5,1
Gsus,1
A#,1
B7-5,1
Dm/F,1
F#dim7,1
Eb9,1
C7b9,1
B7sus4,1
A9,1
C#dim,1
E9,1
A#5,1
B5,1
C5,1
C#5,1
Dmaj9,1
B+,1
G#m7,1
D4,1
A4,1
Gdim7,1
Adim7,1
Eb7(b5),1
Gbdim7,1
G/A#,1
Asus,1
