chords,count
G,4287
C,3606
D,3064
Am,1688
F,1647
Em,1569
A,1517
E,902
Bm,639
Dm,482
B,337
F#m,306
Bb,268
Cadd9,236
E7,183
D7,173
C#m,172
G/B,155
D/F#,145
Em7,133
A7,125
Fmaj7,105
C/G,99
Am7,97
B7,95
Dm7,89
Dsus2,86
Cmaj7,86
Dsus,75
G7,72
Gm,69
Asus2,68
Dsus4,66
F#,66
Asus4,66
Go,64
C/B,62
C7,58
G#m,56
Asus,53
Eb,50
AM,49
Cm,47
C/E,44
Bm7,43
C#m7,40
G6,38
A/C#,36
G5,34
Aadd9,33
G#,32
Fmaj,31
C5,29
Fm,28
Gsus2,27
A7sus4,25
F5,25
Em/D,24
E/B,23
D6/9,22
Ab,22
Gm7,21
Fsus2,20
Gsus4,20
Gmaj7,20
Em9,18
Dmaj9,18
Bm/A,18
D5,17
F#m7,16
A/G#,16
Bb5,15
E/G#,14
G/D,14
Em/C,14
G/F#,12
F7,12
Amaj7,12
A/F#,12
Bb7,11
Dmaj7,11
Esus4,11
Esus,10
Bm11,10
Bdim7,10
Dm6,9
Bbm,9
E7/G#,9
Csus2,8
D/A,8
G7/D,8
E/D,8
Bm/Ab,8
D/C#,8
D/B,8
Bm/G#,8
Dsus4/F#,8
D6,7
Bb/D,7
Emadd9,7
Am/B,6
Am/C,6
Am/D,6
A7/G,6
B7sus4,6
E6,6
Ab/Eb,6
Badd11,6
D7sus4,6
Em6,6
E7sus4,5
Em/G,5
C/D,5
Fmaj7/C,5
D9,5
D#dim7,5
Cm7,5
F#m11,5
Dadd9/F#,5
Bbaug,4
C#,4
Emaj7,4
E5,4
F#5,4
Amadd9,4
Gsus,4
Eaug,4
Ebdim,4
D-,4
F#7/C#,4
Gm6,4
D7/A,4
A7add11,4
C#9/F,4
G/F,4
C#m/G#,3
Am(maj7),3
Am7/G,3
Gm/Bb,3
Ebmaj7,3
Bm9,3
Eb/Bb,3
Dm7b5,3
Adim,3
Gmadd11,3
D7/F#,3
Csus4,3
B5,3
F/A,3
Bdim,3
G-,3
GM7,3
A6,3
A/D,3
Bb/A,2
Gmaj,2
A5,2
A/E,2
Abm,2
Fm7,2
Db,2
Ab7,2
Eb/G,2
Bm7/A,2
G#5,2
F/G,2
Dm7/C,2
Ab6/Bb,2
B/F#,2
C#4/E,2
B/C,2
chords,1
Bsus4,1
C9,1
E7sus,1
G#dim,1
Dmin,1
G/C,1
F/E,1
C#7,1
Esus2,1
E-,1
C#dim,1
F7/C,1
Baug,1
Am7b5,1
Abmaj7,1
Gaug,1
Db/C,1
Db/B,1
Db/Bb,1
Db/Ab,1
F#dim,1
F#7,1
Db7,1
Gb7,1
Ddim,1
Eb7,1
Gb,1
Ab/Bb,1
Bbm/Db,1
C7-9,1
Abdim,1
F6add9/A,1
F6add9/C,1
Fadd9,1
F/D,1
F6add9,1
G7sus4,1
Fmaj9,1
C#m/C,1
B/Bb,1
